Date,Real GDP (GDPC1),Nominal GDP (GDP),Consumer Price Index,Currency in Circulation
1978-01-01,0.041170696113854266,0.1076671185649749,0.24959742351042769,0.10378378378378383
1978-04-01,0.0607813948625342,0.1341129398236982,-0.06151419558359572,0.09554140127388533
1978-07-01,0.05245776457584528,0.13055630163801935,0.5516359918200398,0.09856262833675555
1978-10-01,0.06658100953903645,0.14447319419480942,1.7699248120300717,0.10121457489878538
1979-01-01,0.06509898984026496,0.1470201020537869,0.37592319054657275,0.09990205680705189
1979-04-01,0.02656870067032835,0.11134428102535865,0.4532951289398299,0.09883720930232553
1979-07-01,0.023899265371251532,0.11378119816137677,0.4428769017980678,0.10093457943925244
1979-10-01,0.012845638511357338,0.09969280756285248,-0.10857908847186881,0.10202205882352944
1980-01-01,0.014207812865719038,0.10418386692049819,0.6182094741416762,0.09617097061442559
1980-04-01,-0.0077507055423842175,0.0795389246953302,-0.019662921348318263,0.09171075837742504
1980-07-01,-0.01623808683374517,0.07082039238031701,-1.0,0.08998302207130737
1980-10-01,-0.00039142026726624035,0.09606653442897506,0.184126984127009,0.09174311926605494
1981-01-01,0.015999816310917847,0.1198505148320228,-0.4344253660592008,0.08773354995938254
1981-04-01,0.02968692439455367,0.13054488673574172,-0.3966101694915244,0.0904684975767367
1981-07-01,0.04325757378684414,0.14147677406096926,inf,0.08177570093457942
1981-10-01,0.01299912600434272,0.09889645382754386,-0.7746781115879833,0.06340718105423981
1982-01-01,-0.0219034230684082,0.04804292674682786,-0.6065349544072951,0.06796116504854366
1982-04-01,-0.010105489634705478,0.05357732348637101,-0.3756613756613757,0.06666666666666665
1982-07-01,-0.025558978151038914,0.032421244006871186,-0.5329896907216485,0.07199424046076319
1982-10-01,-0.014431539363715773,0.03710751404070578,0.4279877425944858,0.08045977011494254
1983-01-01,0.014314605795718638,0.06081021237503448,-0.35792349726775974,0.07692307692307687
1983-04-01,0.03268532859372186,0.07409305960554291,0.6892236976506647,0.0888888888888888
1983-07-01,0.05737170064741792,0.09590793750568127,-0.2201005025125622,0.08999328408327734
1983-10-01,0.07899981433288383,0.11524995437260355,-0.02780536246276022,0.09308510638297873
1984-01-01,0.08578274046508594,0.12513369415039333,1.8904244817373534,0.09740259740259738
1984-04-01,0.07996700800200651,0.12036079766449981,-0.3184349763297313,0.08673469387755106
1984-07-01,0.06900836952300837,0.10708913826084343,-0.04050144648023035,0.08564386937769553
1984-10-01,0.055758033529916595,0.09324701307558492,-0.040952380952380074,0.07420924574209242
1985-01-01,0.04555112929721106,0.08242311902547916,-0.6793289015511177,0.06508875739644981
1985-04-01,0.036842273957041094,0.07115072048316029,-0.035714285714285365,0.062206572769953006
1985-07-01,0.04262457522118934,0.07407063720389306,-0.5181226765799267,0.06356413166855845
1985-10-01,0.04182238802676563,0.07124005466004868,0.2927054478301019,0.07021517553793877
1986-01-01,0.04145523524500172,0.06565365725427474,0.445105215004576,0.07388888888888889
1986-04-01,0.037015325720980874,0.05831422340098835,-1.3911764705882443,0.07403314917127068
1986-07-01,0.031192309544910257,0.050355010391465393,-1.0,0.07150480256136604
