Country Name,2013_GDP_per_Capita,2013_Life_Expectancy_at_Birth,2013_Fertility_Rate,2013_Population,GDP_Per_Capita_log_value,Life_Expectancy_at_Birth_log_value,Fertility_Rate_log_value,Population_log_value
Islamic Republic of Iran,4768.874,74.0687561,1.92,77152445,8.469865497315936,4.304993798310537,0.6523251860396901,18.161293827781325
Iraq,6594.374,69.47168293,4.026,33781385,8.79397214025195,4.24091922968846,1.3927733272175997,17.335420469095492
Iceland,45415.578,83.11707317,2.04,323764,10.723610452927879,4.420250134068028,0.712949807856125,12.687770134304166
Israel,36926.33,82.05609756,3.03,8059500,10.516680125708259,4.407403129948539,1.1085626195212777,15.902362077819124
Italy,34714.703,82.29024390000001,1.43,60233948,10.454918593771257,4.410252557521359,0.3576744442718159,17.913746671601547
Jamaica,5099.519,73.46892683,2.26,2714734,8.536901500539107,4.296862552611117,0.8153648132841944,14.814204532333074
Jordan,5174.02,73.90141463,3.2439999999999998,6460000,8.551405228219757,4.302731970260792,1.1768071362531665,15.681139875758785
Japan,38467.786,83.33195122,1.43,127338621,10.557576442751493,4.422832043696598,0.3576744442718159,18.662360403218564
Kazakhstan,13508.671,70.45,2.64,17035275,9.511087054538834,4.254903238344689,0.9707789171582248,16.65079675218142
Kenya,1315.6229999999998,61.68397561,4.382,43692881,7.182065596679567,4.122024182592958,1.4775052411732748,17.592695740616676
Kyrgyz Republic,1280.165,70.20243902,3.2,5719600,7.1547442548559665,4.251383054302855,1.1631508098056809,15.559409430840828
Cambodia,1028.136,71.74756098,2.861,15078564,6.935502732984648,4.27315386075184,1.0511712140679732,16.52878469054566
Kiribati,1546.277,68.84907317,2.952,108544,7.343605385154892,4.231916763500904,1.082482906738226,11.59491089971152
Republic of Korea,25975.068,81.45975609999999,1.187,50219669,10.16489243386583,4.400109108108246,0.17142911562753102,17.73191732067239
Kosovo,3754.9838649999997,70.79756098,2.16,1818117,8.230839267251586,4.25982455067125,0.7701082216960737,14.413311908084419
Kuwait,45188.555,74.4627561,2.6,3593689,10.718599125793173,4.310299082263983,0.9555114450274363,15.094689809470696
Lao PDR,1593.589,68.24941463,3.02,6579985,7.373743984196069,4.223168857178471,1.1052568313867783,15.699543023663644
Lebanon,10077.268,80.12887805,1.495,4493438,9.218037473143585,4.383636314069592,0.4021262068426498,15.318128668277575
